"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA","NOMBRE"
"0","0","Fuerzas armadas","1","","","","","","","","","AYUDACOD_ISCO88"
"01","01","Fuerzas armadas","2","","0","","","","","","","AYUDACOD_ISCO88"
"011","011","Fuerzas armadas","3","","01","","","","","","","AYUDACOD_ISCO88"
"0110","0110","Fuerzas armadas","4","","011","","","","","","","AYUDACOD_ISCO88"
"1","1","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas","1","","","","","","","","","AYUDACOD_ISCO88"
"11","11","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública","2","","1","","","","","","","AYUDACOD_ISCO88"
"111","111","Miembros del poder ejecutivo y de los cuerpos legislativos","3","","11","","","","","","","AYUDACOD_ISCO88"
"1110","1110","Miembros del poder ejecutivo y de los cuerpos legislativos","4","","111","","","","","","","AYUDACOD_ISCO88"
"112","112","Personal directivo de la administración pública","3","","11","","","","","","","AYUDACOD_ISCO88"
"1120","1120","Personal directivo de la administración pública","4","","112","","","","","","","AYUDACOD_ISCO88"
"113","113","Jefes de pequeñas poblaciones","3","","11","","","","","","","AYUDACOD_ISCO88"
"1130","1130","Jefes de pequeñas poblaciones","4","","113","","","","","","","AYUDACOD_ISCO88"
"114","114","Dirigentes y administradores de organizaciones especializadas","3","","11","","","","","","","AYUDACOD_ISCO88"
"1141","1141","Dirigentes y administradores de partidos políticos","4","","114","","","","","","","AYUDACOD_ISCO88"
"1142","1142","Dirigentes y administradores de organizaciones de empleadores, de trabajadores y de otras de interés socioeconómico","4","","114","","","","","","","AYUDACOD_ISCO88"
"1143","1143","Dirigentes y administradores de organizaciones humanitarias y de otras organizaciones especializadas","4","","114","","","","","","","AYUDACOD_ISCO88"
"12","12","Directores de empresa","2","","1","","","","","","","AYUDACOD_ISCO88"
"121","121","Directores generales y gerentes generales de empresa","3","","12","","","","","","","AYUDACOD_ISCO88"
"1210","1210","Directores generales y gerentes generales de empresa","4","","121","","","","","","","AYUDACOD_ISCO88"
"122","122","Directores de departamentos de producción y operaciones","3","","12","","","","","","","AYUDACOD_ISCO88"
"1221","1221","Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca","4","","122","","","","","","","AYUDACOD_ISCO88"
"1222","1222","Directores de departamentos de producción y operaciones, industrias manufactureras","4","","122","","","","","","","AYUDACOD_ISCO88"
"1223","1223","Directores de departamentos de producción y operaciones, construcción y obras públicas","4","","122","","","","","","","AYUDACOD_ISCO88"
"1224","1224","Directores de departamentos de producción y operaciones, comercio mayoristas y minoristas","4","","122","","","","","","","AYUDACOD_ISCO88"
"1225","1225","Directores de departamentos de producción y operaciones, restauración y hostelería","4","","122","","","","","","","AYUDACOD_ISCO88"
"1226","1226","Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones","4","","122","","","","","","","AYUDACOD_ISCO88"
"1227","1227","Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas","4","","122","","","","","","","AYUDACOD_ISCO88"
"1228","1228","Directores de departamentos de producción y operaciones, servicios de cuidados personales, limpieza y servicios similares","4","","122","","","","","","","AYUDACOD_ISCO88"
"1229","1229","Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes","4","","122","","","","","","","AYUDACOD_ISCO88"
"123","123","Otros directores de departamentos","3","","12","","","","","","","AYUDACOD_ISCO88"
"1231","1231","Directores de departamentos financieros y administrativos","4","","123","","","","","","","AYUDACOD_ISCO88"
"1232","1232","Directores de departamentos de personal y de relaciones laborales","4","","123","","","","","","","AYUDACOD_ISCO88"
"1233","1233","Directores de departamentos de ventas y comercialización","4","","123","","","","","","","AYUDACOD_ISCO88"
"1234","1234","Directores de departamentos de publicidad y de relaciones públicas","4","","123","","","","","","","AYUDACOD_ISCO88"
"1235","1235","Directores de departamentos de abastecimiento y distribución","4","","123","","","","","","","AYUDACOD_ISCO88"
"1236","1236","Directores de departamentos de servicios de informática","4","","123","","","","","","","AYUDACOD_ISCO88"
"1237","1237","Directores de departamentos de investigaciones y desarrollo","4","","123","","","","","","","AYUDACOD_ISCO88"
"1239","1239","Otros directores de departamentos, no clasificados bajo otros epígrafes","4","","123","","","","","","","AYUDACOD_ISCO88"
"13","13","Gerentes de empresa","2","","1","","","","","","","AYUDACOD_ISCO88"
"131","131","Gerentes de empresa","3","","13","","","","","","","AYUDACOD_ISCO88"
"1311","1311","Gerentes de empresas de agricultura, caza, silvicultura y pesca","4","","131","","","","","","","AYUDACOD_ISCO88"
"1312","1312","Gerentes de industrias manufactureras","4","","131","","","","","","","AYUDACOD_ISCO88"
"1313","1313","Gerentes de empresas de construcción y obras públicas","4","","131","","","","","","","AYUDACOD_ISCO88"
"1314","1314","Gerentes de comercios mayoristas y minoristas","4","","131","","","","","","","AYUDACOD_ISCO88"
"1315","1315","Gerentes de empresas de restauración y hostelería","4","","131","","","","","","","AYUDACOD_ISCO88"
"1316","1316","Gerentes de empresas de transporte, almacenamiento y comunicaciones","4","","131","","","","","","","AYUDACOD_ISCO88"
"1317","1317","Gerentes de empresas de intermediación y servicios a empresas","4","","131","","","","","","","AYUDACOD_ISCO88"
"1318","1318","Gerentes de empresas de servicios de cuidados personales, limpieza y servicios similares","4","","131","","","","","","","AYUDACOD_ISCO88"
"1319","1319","Gerentes de empresas, no clasificados bajo otros epígrafes","4","","131","","","","","","","AYUDACOD_ISCO88"
"2","2","Profesionales científicos e intelectuales","1","","","","","","","","","AYUDACOD_ISCO88"
"21","21","Profesionales de las ciencias físicas, químicas y matemáticas y de la ingeniería","2","","2","","","","","","","AYUDACOD_ISCO88"
"211","211","Físicios, químicos y afines","3","","21","","","","","","","AYUDACOD_ISCO88"
"2111","2111","Físicios y astrónomos","4","","211","","","","","","","AYUDACOD_ISCO88"
"2112","2112","Meteorólogos","4","","211","","","","","","","AYUDACOD_ISCO88"
"2113","2113","Químicos","4","","211","","","","","","","AYUDACOD_ISCO88"
"2114","2114","Geólogos y geofísicos","4","","211","","","","","","","AYUDACOD_ISCO88"
"212","212","Matemáticos, estadísticos y afines","3","","21","","","","","","","AYUDACOD_ISCO88"
"2121","2121","Matemáticos y afines","4","","212","","","","","","","AYUDACOD_ISCO88"
"2122","2122","Estadísticos","4","","212","","","","","","","AYUDACOD_ISCO88"
"213","213","Profesionales de la informática","3","","21","","","","","","","AYUDACOD_ISCO88"
"2131","2131","Creadores y analistas de sistemas informáticos","4","","213","","","","","","","AYUDACOD_ISCO88"
"2132","2132","Programadores informáticos","4","","213","","","","","","","AYUDACOD_ISCO88"
"2139","2139","Profesionales de la informática, no clasificados bajos otros epígrafes","4","","213","","","","","","","AYUDACOD_ISCO88"
"214","214","Arquitectos, ingenieros y afines","3","","21","","","","","","","AYUDACOD_ISCO88"
"2141","2141","Arquitectos, urbanistas e ingenieros de tránsito","4","","214","","","","","","","AYUDACOD_ISCO88"
"2142","2142","Ingenieros civiles","4","","214","","","","","","","AYUDACOD_ISCO88"
"2143","2143","Ingenieros electricístas","4","","214","","","","","","","AYUDACOD_ISCO88"
"2144","2144","Ingenieros electronicistas y de telecomunicaciones","4","","214","","","","","","","AYUDACOD_ISCO88"
"2145","2145","Ingenieros mecánicos","4","","214","","","","","","","AYUDACOD_ISCO88"
"2146","2146","Ingenieros químicos","4","","214","","","","","","","AYUDACOD_ISCO88"
"2147","2147","Ingenieros de minas y metalúrgicos y afines","4","","214","","","","","","","AYUDACOD_ISCO88"
"2148","2148","Cartógrafos y agrimensores","4","","214","","","","","","","AYUDACOD_ISCO88"
"2149","2149","Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes","4","","214","","","","","","","AYUDACOD_ISCO88"
"22","22","Profesionales de las ciencias biológicos, la medicina y la salud","2","","2","","","","","","","AYUDACOD_ISCO88"
"221","221","Profesionales en ciencias biológicas y otras disciplinas relativas a los seres orgánicos","3","","22","","","","","","","AYUDACOD_ISCO88"
"413","413","Empleados encargados del registro de materiales y de transportes","3","","41","","","","","","","AYUDACOD_ISCO88"
"4131","4131","Empleados de control de abastecimientos e inventario","4","","413","","","","","","","AYUDACOD_ISCO88"
"4132","4132","Empleados de servicios de apoyo a la producción","4","","413","","","","","","","AYUDACOD_ISCO88"
"4133","4133","Empleados de servicios de transporte","4","","413","","","","","","","AYUDACOD_ISCO88"
"414","414","Empleados de bibliotecas y servicios de correos y afines","3","","41","","","","","","","AYUDACOD_ISCO88"
"4141","4141","Empleados de bibliotecas y archivos","4","","414","","","","","","","AYUDACOD_ISCO88"
"4142","4142","Empleados de servicios de correos","4","","414","","","","","","","AYUDACOD_ISCO88"
"4143","4143","Codificadores de datos, correctores de pruebas de imprenta y afines","4","","414","","","","","","","AYUDACOD_ISCO88"
"4144","4144","Escribientes públicos y afines","4","","414","","","","","","","AYUDACOD_ISCO88"
"419","419","Otros oficinistas","3","","41","","","","","","","AYUDACOD_ISCO88"
"4190","4190","Otros oficinistas","4","","419","","","","","","","AYUDACOD_ISCO88"
"42","42","Empleados en trato directo con el público","2","","4","","","","","","","AYUDACOD_ISCO88"
"421","421","Cajeros, taquilleros y afines","3","","42","","","","","","","AYUDACOD_ISCO88"
"4211","4211","Cajeros y expendedores de billetes","4","","421","","","","","","","AYUDACOD_ISCO88"
"4212","4212","Pagadores y cobradores de ventanilla y taquilleros","4","","421","","","","","","","AYUDACOD_ISCO88"
"4213","4213","Receptores de apuestas y afines","4","","421","","","","","","","AYUDACOD_ISCO88"
"4214","4214","Prestamistas","4","","421","","","","","","","AYUDACOD_ISCO88"
"4215","4215","Cobradores y afines","4","","421","","","","","","","AYUDACOD_ISCO88"
"422","422","Empleados de servicios de información a la clientela","3","","42","","","","","","","AYUDACOD_ISCO88"
"4221","4221","Empleados de agencias de viajes","4","","422","","","","","","","AYUDACOD_ISCO88"
"4222","4222","Recepcionistas y empleados de informaciones","4","","422","","","","","","","AYUDACOD_ISCO88"
"4223","4223","Telefonistas","4","","422","","","","","","","AYUDACOD_ISCO88"
"5","5","Trabajadores de los servicios y vendedores de comercios y mercados","1","","","","","","","","","AYUDACOD_ISCO88"
"51","51","Trabajadores de los servicios personales y de los servicios de protección y seguridad","2","","5","","","","","","","AYUDACOD_ISCO88"
"511","511","Personal al servicio directo de los pasajeros","3","","51","","","","","","","AYUDACOD_ISCO88"
"5111","5111","Camareros y azafatas","4","","511","","","","","","","AYUDACOD_ISCO88"
"5112","5112","Revisores, guardas y cobradores de los transportes públicos","4","","511","","","","","","","AYUDACOD_ISCO88"
"5113","5113","Guías","4","","511","","","","","","","AYUDACOD_ISCO88"
"512","512","Personal de intendencia y de restauración","3","","51","","","","","","","AYUDACOD_ISCO88"
"5121","5121","Ecónomos, mayordomos y afines","4","","512","","","","","","","AYUDACOD_ISCO88"
"5122","5122","Cocineros","4","","512","","","","","","","AYUDACOD_ISCO88"
"5123","5123","Camareros y taberneros","4","","512","","","","","","","AYUDACOD_ISCO88"
"513","513","Trabajadores de los cuidados personales y afines","3","","51","","","","","","","AYUDACOD_ISCO88"
"5131","5131","Niñeras y celadoras infantiles","4","","513","","","","","","","AYUDACOD_ISCO88"
"5132","5132","Ayudantes de enfermería en instituciones","4","","513","","","","","","","AYUDACOD_ISCO88"
"5133","5133","Ayudantes de enfermería a domicilio","4","","513","","","","","","","AYUDACOD_ISCO88"
"5139","5139","Trabajadores de los cuidados personales y afines, no clasificados bajo otros epígrafes","4","","513","","","","","","","AYUDACOD_ISCO88"
"514","514","Otros trabajadores de servicios personales a particulares","3","","51","","","","","","","AYUDACOD_ISCO88"
"5141","5141","Peluqueros, especialistas en tratamientos de belleza y afines","4","","514","","","","","","","AYUDACOD_ISCO88"
"5142","5142","Acompañantes y ayudas de cámara","4","","514","","","","","","","AYUDACOD_ISCO88"
"5143","5143","Personal de pompas fúnebres y embalsamadores","4","","514","","","","","","","AYUDACOD_ISCO88"
"5149","5149","Otros trabajadores de servicios personales a particulares, no clasificados bajo otros epígrafes","4","","514","","","","","","","AYUDACOD_ISCO88"
"515","515","Astrólogos, adivinadores y afines","3","","51","","","","","","","AYUDACOD_ISCO88"
"5151","5151","Astrólogos y afines","4","","515","","","","","","","AYUDACOD_ISCO88"
"5152","5152","Adivinadores, quirománticos y afines","4","","515","","","","","","","AYUDACOD_ISCO88"
"516","516","Personal de los servicios de protección y seguridad","3","","51","","","","","","","AYUDACOD_ISCO88"
"5161","5161","Bomberos","4","","516","","","","","","","AYUDACOD_ISCO88"
"5162","5162","Policías","4","","516","","","","","","","AYUDACOD_ISCO88"
"5163","5163","Guardianes de prisión","4","","516","","","","","","","AYUDACOD_ISCO88"
"5169","5169","Personal de los servicios de protección y seguridad, no clasificado bajo otros epígrafes","4","","516","","","","","","","AYUDACOD_ISCO88"
"52","52","Modelos, vendedores y demostradores","2","","5","","","","","","","AYUDACOD_ISCO88"
"521","521","Modelos de modas, arte y publicidad","3","","52","","","","","","","AYUDACOD_ISCO88"
"5210","5210","Modelos de modas, arte y publicidad","4","","521","","","","","","","AYUDACOD_ISCO88"
"522","522","Vendedores y demostradores de tiendas y almacenes","3","","52","","","","","","","AYUDACOD_ISCO88"
"5220","5220","Vendedores y demostradores de tiendas y almacenes","4","","522","","","","","","","AYUDACOD_ISCO88"
"523","523","Vendedores de quioscos y de puestos de mercado","3","","52","","","","","","","AYUDACOD_ISCO88"
"5230","5230","Vendedores de quioscos y de puestos de mercado","4","","523","","","","","","","AYUDACOD_ISCO88"
"6","6","Agricultores y trabajadores calificados agropecuarios y pesqueros","1","","","","","","","","","AYUDACOD_ISCO88"
"61","61","Agricultores y trabajadores calificados de explotaciones agropecuarias, forestales y pesqueras con destino al mercado","2","","6","","","","","","","AYUDACOD_ISCO88"
"611","611","Agricultores y trabajadores calificados de cultivos para el mercado","3","","61","","","","","","","AYUDACOD_ISCO88"
"6111","6111","Agricultores y trabajadores calificados de cultivos extensivos","4","","611","","","","","","","AYUDACOD_ISCO88"
"6112","6112","Agricultores y trabajadores calificados de plantaciones de árboles y arbustos","4","","611","","","","","","","AYUDACOD_ISCO88"
"6113","6113","Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines","4","","611","","","","","","","AYUDACOD_ISCO88"
"6114","6114","Agricultores y trabajadores calificados de cultivos mixtos","4","","611","","","","","","","AYUDACOD_ISCO88"
"612","612","Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines","3","","61","","","","","","","AYUDACOD_ISCO88"
"6121","6121","Criadores de ganado y otros animales domésticos, productores de leche y sus derivados","4","","612","","","","","","","AYUDACOD_ISCO88"
"6122","6122","Avicultores y trabajadores calificados de la avicultura","4","","612","","","","","","","AYUDACOD_ISCO88"
"6123","6123","Agricultores y sericicultores y trabajadores calificados de la apicultura y la sericicultura","4","","612","","","","","","","AYUDACOD_ISCO88"
"6124","6124","Criadores y trabajadores calificados de la cría de animales domésticos diversos","4","","612","","","","","","","AYUDACOD_ISCO88"
"6129","6129","Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines, no clasificados bajo otros epígrafes","4","","612","","","","","","","AYUDACOD_ISCO88"
"613","613","Productores y trabajadores agropecuarios calificados cuya producción se destina al mercado","3","","61","","","","","","","AYUDACOD_ISCO88"
"6130","6130","Productores y trabajadores agropecuarios calificados cuya producción se destina al mercado","4","","613","","","","","","","AYUDACOD_ISCO88"
"614","614","Trabajadores forestales calificados y afines","3","","61","","","","","","","AYUDACOD_ISCO88"
"6141","6141","Taladores y otros trabajadores forestales","4","","614","","","","","","","AYUDACOD_ISCO88"
"6142","6142","Carboneros de carbón vegetal y afines","4","","614","","","","","","","AYUDACOD_ISCO88"
"615","615","Pescadores, cazadores y tramperos","3","","61","","","","","","","AYUDACOD_ISCO88"
"6151","6151","Criadores de especies acuáticas","4","","615","","","","","","","AYUDACOD_ISCO88"
"6152","6152","Pescadores de agua dulce y aguas costeras","4","","615","","","","","","","AYUDACOD_ISCO88"
"6153","6153","Pescadores de alta mar","4","","615","","","","","","","AYUDACOD_ISCO88"
"6154","6154","Cazadores y tramperos","4","","615","","","","","","","AYUDACOD_ISCO88"
"62","62","Trabajadores agropecuarios y pesqueros de subsistencia","2","","6","","","","","","","AYUDACOD_ISCO88"
"621","621","Trabajadores agropecuarios y pesqueros de subsistencia","3","","62","","","","","","","AYUDACOD_ISCO88"
"6210","6210","Trabajadores agropecuarios y pesqueros de subsistencia","4","","621","","","","","","","AYUDACOD_ISCO88"
"7","7","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios","1","","","","","","","","","AYUDACOD_ISCO88"
"71","71","Oficiales y operarios de las industrias extractivas y de la construcción","2","","7","","","","","","","AYUDACOD_ISCO88"
"711","711","Mineros, canteros, pegadores y labrantes de piedra","3","","71","","","","","","","AYUDACOD_ISCO88"
"7111","7111","Mineros y canteros","4","","711","","","","","","","AYUDACOD_ISCO88"
"7112","7112","Pegadores","4","","711","","","","","","","AYUDACOD_ISCO88"
"7113","7113","Tronzadores, labrantes y grabadores de piedra","4","","711","","","","","","","AYUDACOD_ISCO88"
"712","712","Oficiales y operarios de la construcción (obra gruesa) y afines","3","","71","","","","","","","AYUDACOD_ISCO88"
"7121","7121","Constructores con técnicas y materiales tradicionales","4","","712","","","","","","","AYUDACOD_ISCO88"
"7122","7122","Albañiles y mamposteros","4","","712","","","","","","","AYUDACOD_ISCO88"
"7123","7123","Operarios en cemento armado, enfoscadores y afines","4","","712","","","","","","","AYUDACOD_ISCO88"
"7124","7124","Carpinteros de armar y de blanco","4","","712","","","","","","","AYUDACOD_ISCO88"
"7129","7129","Oficiales y operarios de la construcción (obra gruesa) y afines, no clasificados bajo otros epígrafes","4","","712","","","","","","","AYUDACOD_ISCO88"
"713","713","Oficiales y operarios de la construcción (trabajos de acabado) y afines","3","","71","","","","","","","AYUDACOD_ISCO88"
"7131","7131","Techadores","4","","713","","","","","","","AYUDACOD_ISCO88"
"7132","7132","Parqueteros y colocadores de suelos","4","","713","","","","","","","AYUDACOD_ISCO88"
"7133","7133","Revocadores","4","","713","","","","","","","AYUDACOD_ISCO88"
"7134","7134","Instaladores de material aislante y de insonorización","4","","713","","","","","","","AYUDACOD_ISCO88"
"7135","7135","Cristaleros","4","","713","","","","","","","AYUDACOD_ISCO88"
"7136","7136","Fontaneros e instaladores de tuberías","4","","713","","","","","","","AYUDACOD_ISCO88"
"7137","7137","Electricistas de obras y afines","4","","713","","","","","","","AYUDACOD_ISCO88"
"714","714","Pintores, limpiadores de fachadas y afines","3","","71","","","","","","","AYUDACOD_ISCO88"
